client_id	path	sentence	age	gender	accents	duration
154a	common_voice_en_27658680.mp3	He was named the Dally M Rookie of the Year.	adult	female_feminine		3.924
155a	common_voice_en_19451125.mp3	However, the pilot was not picked up by the network.	adult	female_feminine	United States English	5.136
157a	common_voice_en_17503256.mp3	Are you all right?	adult	female_feminine		3.312
162a	common_voice_en_39062453.mp3	He appears often on mainstream television shows.	adult	female_feminine		5.436
164a	common_voice_en_37903056.mp3	Malcolm was born and was brought up in Newport, where he still lives.	adult	female_feminine		5.616
184a	common_voice_en_19524811.mp3	Despite the tantalizing possibilities, Laws hedges his bets and never cuts loose.	adult	female_feminine	Southern African (South Africa, Zimbabwe, Namibia)	8.304
187a	common_voice_en_19939820.mp3	Spain qualified a men's and a women's team.	adult	female_feminine		5.28
191a	common_voice_en_18151607.mp3	For example, Colombia, Chile, Argentina and Venezuela.	adult	female_feminine		4.464
208a	common_voice_en_17291279.mp3	What shall I do?	adult	female_feminine	United States English	2.544
215a	common_voice_en_22305796.mp3	yes	adult	female_feminine	Hong Kong English	2.424
221a	common_voice_en_37318416.mp3	"The word was believed to be Koori for ""Rainbow""."	adult	female_feminine		4.644
239a	common_voice_en_20282120.mp3	Though damage will be caused to some archaeological heritage, important projects are implemented anyway.	adult	female_feminine		9.168
241a	common_voice_en_38016546.mp3	She lived in Alexandria where she completed studying.	adult	female_feminine		3.996
242a	common_voice_en_17839501.mp3	Roll the dice, please.	adult	female_feminine	United States English	3.84
244a	common_voice_en_38289253.mp3	His death alone will soothe the wrath of the offended deity.	adult	female_feminine		5.796
245a	common_voice_en_22975991.mp3	There are two gyms and an indoor pool.	adult	female_feminine	United States English	5.304
254a	common_voice_en_25659718.mp3	The hero who kisses old ladies and dogs and was kind to everybody.	adult	female_feminine	United States English	8.496
262a	common_voice_en_36460460.mp3	What I long for is the right to love.	adult	female_feminine		3.168
269a	common_voice_en_17331555.mp3	Will you marry me?	adult	female_feminine	Welsh English	2.328
270a	common_voice_en_38420003.mp3	I order you to serve out the guns.	adult	female_feminine	United States English	3.276
275a	common_voice_en_18534646.mp3	Good point! well made.	adult	female_feminine		4.296
277a	common_voice_en_37698584.mp3	They are messengers of the Great Sun himself.	adult	female_feminine		6.408
291a	common_voice_en_37451535.mp3	Many restaurants and nightclubs offer live entertainment on the weekends.	adult	female_feminine		8.28
294a	common_voice_en_17895168.mp3	What do you want of me?	adult	female_feminine	United States English	2.16
295a	common_voice_en_17352219.mp3	Where are the others?	adult	female_feminine	United States English	2.856
296a	common_voice_en_17673745.mp3	Wrestling, boxing and karate are well-known examples for martial arts.	adult	female_feminine		6.576
297a	common_voice_en_18733382.mp3	Proceeds go to the town's athletic programs.	adult	female_feminine	England English	6.384
317a	common_voice_en_31367786.mp3	The company manufactured health and skin care products made from rooibos extract.	adult	female_feminine		7.308
328a	common_voice_en_22335218.mp3	Seth continues to deteriorate, losing body parts and becoming less human in appearance.	adult	female_feminine		6.072
336a	common_voice_en_39764879.mp3	The legislation was a failure for a number of reasons.	adult	female_feminine	Latin American accent influenced by American English 	3.816
338a	common_voice_en_26408640.mp3	The town is served by the Gorno-Altaysk Airport.	adult	female_feminine		5.328
345a	common_voice_en_551456.mp3	Jim became head of the draft board.	adult	female_feminine	United States English	6.84
350a	common_voice_en_35016253.mp3	A series of pathways lead to it.	adult	female_feminine		4.896
353a	common_voice_en_22181000.mp3	Hey	adult	female_feminine	United States English	3.288
364a	common_voice_en_20172863.mp3	There is the interplay of personified forces of nature like winds and rivers.	adult	female_feminine		9.216
366a	common_voice_en_32123928.mp3	She is working on the third book in the mystery series.	adult	female_feminine		5.904
369a	common_voice_en_19935427.mp3	The fan received a signed team jersey.	adult	female_feminine	United States English	4.608
374a	common_voice_en_38785822.mp3	The villains wore their hats much slouched.	adult	female_feminine		5.724
377a	common_voice_en_31638031.mp3	While he sings the song the video cuts back and forth between several scenes.	adult	female_feminine		6.696
388a	common_voice_en_37710566.mp3	These names may stem from High German and come from Eschwege's original Germanic name.	adult	female_feminine		6.876
389a	common_voice_en_20848164.mp3	Despite Markus's defiance, Viktor orders that William be imprisoned in a secret location forever.	adult	female_feminine	United States English	7.944
391a	common_voice_en_20972098.mp3	Brazilian Rock band Swianne currently perform the song regularly in their concerts.	adult	female_feminine		6.072
393a	common_voice_en_19985202.mp3	The Football Association entered a Great Britain national amateur team to represent Great Britain.	adult	female_feminine	India and South Asia (India, Pakistan, Sri Lanka)	8.28
395a	common_voice_en_17455874.mp3	Unfortunately, nobody can warrant that the sanctions will have an effect on the community.	adult	female_feminine	Southern African (South Africa, Zimbabwe, Namibia)	6.24
403a	common_voice_en_17859625.mp3	Well, you shouldn't have any trouble then.	adult	female_feminine	United States English	3.096
405a	common_voice_en_38213328.mp3	Strange joined the singers after having appeared at a rodeo in Prescott, Arizona.	adult	female_feminine		6.876
407a	common_voice_en_36305046.mp3	They said that they were forcefully vaccinated.	adult	female_feminine	Singaporean English,Thai English	4.86
411a	common_voice_en_19706318.mp3	And that ... will be the ultimate mistake.	adult	female_feminine		4.128
413a	common_voice_en_38189490.mp3	There is a symbolic myth behind commemorating Krishna as well.	adult	female_feminine		5.976
418a	common_voice_en_26351936.mp3	Thirlwell was born in Melbourne, Australia.	adult	female_feminine		4.968
421a	common_voice_en_35363363.mp3	The honeydew can rain down on neighboring and understory plants.	adult	female_feminine	India and South Asia (India, Pakistan, Sri Lanka)	4.536
425a	common_voice_en_39094367.mp3	She is married to Roch Frey.	adult	female_feminine		2.916
431a	common_voice_en_17453538.mp3	"See, said Sarah, ""that is my brother."""	adult	female_feminine	United States English	3.6
433a	common_voice_en_22301632.mp3	seven	adult	female_feminine	Hong Kong English	2.544
435a	common_voice_en_31266588.mp3	Many bear one to many empty appendages.	adult	female_feminine		3.816
436a	common_voice_en_4561565.mp3	Slide the bill between the two leaves.	adult	female_feminine	United States English	6.336
461a	common_voice_en_22111817.mp3	eight	adult	female_feminine		7.248
475a	common_voice_en_39018431.mp3	It is available by subscription only.	adult	female_feminine		4.356
476a	common_voice_en_18707945.mp3	They have two children, Erik and Alexandra.	adult	female_feminine	United States English	4.416
478a	common_voice_en_39015262.mp3	When he's sad or touched, he makes a mechanical, catching noise in his throat.	adult	female_feminine		7.956
484a	common_voice_en_21481329.mp3	Yes, and you should hear Steve play the pipes.	adult	female_feminine		4.728
490a	common_voice_en_159722.mp3	We couldn't make it in a week!	adult	female_feminine	United States English	4.344
496a	common_voice_en_20631954.mp3	An elegant ball takes place on Christmas Eve.	adult	female_feminine	England English	4.704
508a	common_voice_en_17350425.mp3	What on earth are you rambling about?	adult	female_feminine	England English	3.744
509a	common_voice_en_20263456.mp3	Other attractions include the nearby town of Douglas, Saugatuck's sister city.	adult	female_feminine	England English	7.632
511a	common_voice_en_22190565.mp3	zero	adult	female_feminine		4.68
517a	common_voice_en_37179552.mp3	Some Sisters who remained became martyrs.	adult	female_feminine		5.616
528a	common_voice_en_17682905.mp3	Are you still using your computer for the research?	adult	female_feminine		3.624
530a	common_voice_en_17627636.mp3	Sorry, the test period expired.	adult	female_feminine	United States English	2.112
538a	common_voice_en_17328123.mp3	Tyler, Lucy, Michelle, we're going to space!	adult	female_feminine		8.448
540a	common_voice_en_17354592.mp3	The more you stir, the more it stinks.	adult	female_feminine		3.864
556a	common_voice_en_17916879.mp3	The fan whirled its round blades softly.	adult	female_feminine		4.704
562a	common_voice_en_25021926.mp3	The measure was ultimately defeated.	adult	female_feminine		4.716
582a	common_voice_en_21374777.mp3	Such ignominy can never be wiped away.	adult	female_feminine	United States English	4.944
586a	common_voice_en_39062482.mp3	No tsunami was associated with this event.	adult	female_feminine		3.636
589a	common_voice_en_17621648.mp3	What game do you want to play?	adult	female_feminine		3.48
591a	common_voice_en_19769662.mp3	The respectable young Englishmen she met at the latter did not appeal to her.	adult	female_feminine	United States English	6.456
593a	common_voice_en_19704669.mp3	In that assembly he served several terms as speaker.	adult	female_feminine	India and South Asia (India, Pakistan, Sri Lanka)	5.76
594a	common_voice_en_18237617.mp3	Writing, the best memory.	adult	female_feminine	United States English	3.816
600a	common_voice_en_39017482.mp3	He got his way.	adult	female_feminine		2.592
603a	common_voice_en_26675808.mp3	It isn't theatrical!	adult	female_feminine	India and South Asia (India, Pakistan, Sri Lanka)	2.988
606a	common_voice_en_36765761.mp3	Key, Short, and Foster feed into Gunn.	adult	female_feminine		5.184
608a	common_voice_en_26790804.mp3	He was, however, found guilty of one count of endangerment in a split verdict.	adult	female_feminine		9.252
611a	common_voice_en_22300294.mp3	seven	adult	female_feminine		3.192
613a	common_voice_en_36544758.mp3	"Firstly, Rich began working on the lyric for ""Run to You""."	adult	female_feminine		5.94
619a	common_voice_en_19685105.mp3	When the crash happened, Johnson's scalp was nearly sheared off.	adult	female_feminine	England English	5.28
620a	common_voice_en_25179892.mp3	On the east side is the west doorway of the nave.	adult	female_feminine		4.176
630a	common_voice_en_39016776.mp3	This, however, was not the end for the branch.	adult	female_feminine		5.148
631a	common_voice_en_17677738.mp3	What do you mean?	adult	female_feminine	New Zealand English	1.992
634a	common_voice_en_39965220.mp3	It is part of the Pittsburgh Metropolitan Area.	adult	female_feminine	United States English	6.336
637a	common_voice_en_17576198.mp3	Well, the merry-go-round wasn't exactly spectacular.	adult	female_feminine	United States English	4.104
653a	common_voice_en_18366209.mp3	Is that how your niece began?	adult	female_feminine	United States English	8.832
665a	common_voice_en_36486273.mp3	Membership cannot be handed down to another person.	adult	female_feminine		7.128
666a	common_voice_en_24601943.mp3	The current commercial sources of tocotrienol are rice and palm.	adult	female_feminine	United States English	7.632
691a	common_voice_en_19937101.mp3	At the junction, the road's name changes to Morning Drive.	adult	female_feminine		4.944
699a	common_voice_en_30951482.mp3	He then became an instructor at the zoology before joining Johns Hopkins University.	adult	female_feminine	Catalan	6.768
702a	common_voice_en_25884084.mp3	It is a one way street in the Pergolese street, Marbeau street.	adult	female_feminine		7.56
705a	common_voice_en_37797910.mp3	He finished in third place overall.	adult	female_feminine	Canadian English	3.996
710a	common_voice_en_19627215.mp3	Its bloom period is July to October in North America.	adult	female_feminine	India and South Asia (India, Pakistan, Sri Lanka)	5.256
712a	common_voice_en_18396440.mp3	We will be out of town for most of May.	adult	female_feminine	United States English	4.224
726a	common_voice_en_19735675.mp3	It has got a temple dedicated to lord Vishnu who is worshipped as Bytrayappa.	adult	female_feminine		7.68
741a	common_voice_en_39815115.mp3	Luna was a former employee of the restaurant.	adult	female_feminine	Welsh English,Shropshire	4.788
745a	common_voice_en_36326712.mp3	There were three voters registered to other parties.	adult	female_feminine		4.608
746a	common_voice_en_37976442.mp3	She was buried in Littleham, Exmouth.	adult	female_feminine	Australian English	3.96
747a	common_voice_en_38123782.mp3	Bertie's boundaries have remained the same since then.	adult	female_feminine		6.516
748a	common_voice_en_17250431.mp3	Vermicelli A trio, or musical piece for three voices or instruments.	adult	female_feminine	United States English	6.816
765a	common_voice_en_19936967.mp3	Females are typically larger and more rufescent than the males.	adult	female_feminine		6.672
766a	common_voice_en_17258255.mp3	They are very impressive, I will admit.	adult	female_feminine	United States English	4.2
778a	common_voice_en_19941683.mp3	This includes sessions at colleges, high schools, and the state's three law schools.	adult	female_feminine	India and South Asia (India, Pakistan, Sri Lanka)	7.008
788a	common_voice_en_31649071.mp3	He is responsible for the administration and the operational control of the Jamaican military.	adult	female_feminine		8.496
791a	common_voice_en_38620500.mp3	He has also written short stories and poetry.	adult	female_feminine	United States English	5.94
797a	common_voice_en_37976915.mp3	Each student is trained to develop confidence and teamwork skills.	adult	female_feminine		6.48
806a	common_voice_en_18136844.mp3	They felt that the salesman had lied to them.	adult	female_feminine		5.16
817a	common_voice_en_20981171.mp3	The investment turned out to be a fraud.	adult	female_feminine		6.096
832a	common_voice_en_37382615.mp3	Malapert was born at Mons.	adult	female_feminine		3.42
834a	common_voice_en_17895301.mp3	The cleat sank deeply into the soft turf.	adult	female_feminine	United States English	5.952
838a	common_voice_en_17396116.mp3	Why do you think awkward silences make us so uncomfortable?	adult	female_feminine	United States English	4.656
846a	common_voice_en_26233296.mp3	As for the Marines, they are the armed branch of the World Government.	adult	female_feminine		6.588
850a	common_voice_en_540956.mp3	I'm going to them.	adult	female_feminine	England English	2.928
853a	common_voice_en_17268767.mp3	Oh, what is it?	adult	female_feminine	United States English	5.256
856a	common_voice_en_39663913.mp3	Newberry Caldera has many nature, ecological, and adventure tourism opportunities.	adult	female_feminine		8.82
857a	common_voice_en_21195578.mp3	Today, Stewartby parish also includes Kempston Hardwick.	adult	female_feminine		5.016
858a	common_voice_en_19489627.mp3	For weeks, Greenberg slept upright, the only way to tolerate the excruciating headaches.	adult	female_feminine		6.912
860a	common_voice_en_39094658.mp3	He thus withdraws his request.	adult	female_feminine		3.312
866a	common_voice_en_17790827.mp3	As an approximation, we use a multivariate Gaussian distribution.	adult	female_feminine	Australian English	6.264
869a	common_voice_en_19485661.mp3	Governments have no right to question the loyalty of those who oppose them.	adult	female_feminine	Irish English	2.664
874a	common_voice_en_20331229.mp3	She was fluent in Polish, Czech, Russian, French, and Greek.	adult	female_feminine		4.896
876a	common_voice_en_40117194.mp3	Walter's parents were pioneering missionaries in China.	adult	female_feminine	India and South Asia (India, Pakistan, Sri Lanka)	6.516
877a	common_voice_en_19736952.mp3	There is a proposal to add an additional stop at East Greenwich, Rhode Island.	adult	female_feminine	England English	5.616
886a	common_voice_en_26830417.mp3	From the Cradle has prompted a wide range of critical response.	adult	female_feminine		6.048
890a	common_voice_en_17627093.mp3	If you do not have your ticket, I cannot let you in.	adult	female_feminine	England English	3.648
890a	common_voice_en_17627160.mp3	What time was it?	adult	female_feminine	England English	2.808
892a	common_voice_en_551373.mp3	Many people in white shirts are walking down a street	adult	female_feminine		4.536
892a	common_voice_en_551377.mp3	A woman works the counter of a carnival game	adult	female_feminine		6.576
902a	common_voice_en_18854895.mp3	The county seat is Prineville.	adult	female_feminine		4.704
902a	common_voice_en_18854899.mp3	There is no public transportation in Barkhamsted.	adult	female_feminine		5.664
908a	common_voice_en_17309549.mp3	Shall I meet you in the concourse then?	adult	female_feminine	United States English	4.536
908a	common_voice_en_17309593.mp3	If you do not have your ticket, I cannot let you in.	adult	female_feminine	United States English	4.728
909a	common_voice_en_19948136.mp3	She arrived Hong Kong with her younger brother when she was five.	adult	female_feminine		9.168
909a	common_voice_en_19948140.mp3	Born to Russian Jewish immigrants.	adult	female_feminine		5.064
920a	common_voice_en_18257271.mp3	The tracking reference did not work.	adult	female_feminine		3.864
920a	common_voice_en_18257276.mp3	What is she to do?	adult	female_feminine		3.144
925a	common_voice_en_19058127.mp3	Crops raised included coffee and cotton.	adult	female_feminine	United States English	9.144
925a	common_voice_en_19058131.mp3	To their surprise, they received an apology.	adult	female_feminine	United States English	5.016
927a	common_voice_en_39750688.mp3	Dwyer studied acting with Youth Theatre.	adult	female_feminine	Eastern European English,bulgarian english	4.536
927a	common_voice_en_39750720.mp3	Arsenite minerals are much less common.	adult	female_feminine	Eastern European English,bulgarian english	6.48
940a	common_voice_en_31611581.mp3	He returned to Samoa in late July.	adult	female_feminine		4.176
940a	common_voice_en_31611583.mp3	This helps direct visual observation of the interiors.	adult	female_feminine		5.796
949a	common_voice_en_39039231.mp3	"Anthony was the editor of ""The Wittenburg Door"", a magazine of Christian satire."	adult	female_feminine		6.3
949a	common_voice_en_39043506.mp3	The Lummi developed a fishing technique known as reef netting.	adult	female_feminine		4.068
951a	common_voice_en_23719016.mp3	This is where the current pledge record for the station was established.	adult	female_feminine		9.816
951a	common_voice_en_23719019.mp3	She and Leo wind up together.	adult	female_feminine		4.512
958a	common_voice_en_514622.mp3	Its easier to endure the cold if you have a warm drink in the belly.	adult	female_feminine	United States English	7.968
958a	common_voice_en_514623.mp3	Too young or too old?	adult	female_feminine	United States English	1.968
963a	common_voice_en_19621124.mp3	The school has discounts for siblings and early payments.	adult	female_feminine		6.384
963a	common_voice_en_19621137.mp3	The eggs float freely with the currents until hatching.	adult	female_feminine		6.336
967a	common_voice_en_28458839.mp3	She thought he was getting away from Miriam.	adult	female_feminine	United States English	4.572
967a	common_voice_en_28458841.mp3	Jesus is More than a Carpenter	adult	female_feminine	United States English	3.924
971a	common_voice_en_21367754.mp3	The Second Boer War Battle of Modder River took place here.	adult	female_feminine	India and South Asia (India, Pakistan, Sri Lanka)	6.456
971a	common_voice_en_21367755.mp3	The inhabitants would have preferred to remain as independent municipalities.	adult	female_feminine	India and South Asia (India, Pakistan, Sri Lanka)	5.904
972a	common_voice_en_641104.mp3	Zora, can you teach me how to yodel?	adult	female_feminine	England English	5.976
972a	common_voice_en_641105.mp3	The wharf could be seen at the farther shore.	adult	female_feminine	England English	4.464
975a	common_voice_en_19937271.mp3	"Tilak's son, Devdatt Narayan Tilak, edited and published the epic poem ""Christayana""."	adult	female_feminine	Scottish English	8.952
975a	common_voice_en_19937319.mp3	Problems with the new treaty soon arose.	adult	female_feminine	Scottish English	3.84
976a	common_voice_en_23896967.mp3	After their release they moved to Toronto.	adult	female_feminine		5.304
976a	common_voice_en_23896971.mp3	The headquarters of the Communist League also moved to London.	adult	female_feminine		6.744
977a	common_voice_en_19373305.mp3	The headquarters were located at Eagle Base in the town of Tuzla.	adult	female_feminine		7.08
977a	common_voice_en_19373318.mp3	Open halfspaces are such examples.	adult	female_feminine		4.608
979a	common_voice_en_19988809.mp3	The crater Puiseux on the Moon is named after him.	adult	female_feminine	United States English	5.088
979a	common_voice_en_19988815.mp3	"Also see: ""Pickens County Courthouse""."	adult	female_feminine	United States English	4.536
986a	common_voice_en_17285889.mp3	I suspect this may be someone new making themselves known.	adult	female_feminine	India and South Asia (India, Pakistan, Sri Lanka)	5.208
986a	common_voice_en_17285890.mp3	Eggs, milk and flour are the main ingredients of pancakes.	adult	female_feminine	India and South Asia (India, Pakistan, Sri Lanka)	5.472
991a	common_voice_en_31684476.mp3	The Bonnie Oaks Historic District consists of fifteen structures and one archaeological site.	adult	female_feminine		9.396
993a	common_voice_en_22469599.mp3	Through his marriage to Martin, Betz had a stepdaughter, Rio.	adult	female_feminine		5.664
993a	common_voice_en_22469604.mp3	We want only quality tourists, not a big volume.	adult	female_feminine		4.584
995a	common_voice_en_17679459.mp3	Oh no, my bunny broke out of its cage!	adult	female_feminine	United States English	4.608
995a	common_voice_en_17679460.mp3	She was beautiful from behind, but he couldn't see her face yet.	adult	female_feminine	United States English	5.664
996a	common_voice_en_18304023.mp3	Please consult your physician if you experience any side effects.	adult	female_feminine		4.992
996a	common_voice_en_18304024.mp3	Advertisements are rarely hosted by the same web server as the actual content.	adult	female_feminine		5.736
998a	common_voice_en_35473863.mp3	Copies of everything produced had to be made by hand.	adult	female_feminine		4.5
1002a	common_voice_en_30406491.mp3	Brazil won the event.	adult	female_feminine		3.744
1002a	common_voice_en_30406494.mp3	This species are on the wing from July to April.	adult	female_feminine		6.012
1004a	common_voice_en_18395045.mp3	A symphony.	adult	female_feminine		1.848
1004a	common_voice_en_18395049.mp3	The concert was loud enough for everyone in the city to hear.	adult	female_feminine		4.344
1013a	common_voice_en_37428938.mp3	It is endemic to the southwest of Madagascar.	adult	female_feminine		4.788
1013a	common_voice_en_37429748.mp3	Did he mention her name?	adult	female_feminine		3.564
1024a	common_voice_en_39567960.mp3	The system was repealed when Congress returned only a few months later.	adult	female_feminine	West Indies and Bermuda (Bahamas, Bermuda, Jamaica, Trinidad)	5.328
1025a	common_voice_en_23863783.mp3	The only president under this system was Mengistu Haile-Mariam.	adult	female_feminine	United States English	7.416
1025a	common_voice_en_23863814.mp3	He played two seasons with the Hawks.	adult	female_feminine	United States English	3.144
1035a	common_voice_en_18758345.mp3	It is situated on the seafront in Bangor, County Down, Northern Ireland.	adult	female_feminine	United States English	7.752
1035a	common_voice_en_18758347.mp3	In that case, there exists an odd Darboux Theorem.	adult	female_feminine	United States English	8.208
1036a	common_voice_en_18754521.mp3	It was built on land formerly held by the Macfadzeans.	adult	female_feminine	India and South Asia (India, Pakistan, Sri Lanka)	5.496
1036a	common_voice_en_18754523.mp3	The rural population saw the old religious order in danger.	adult	female_feminine	India and South Asia (India, Pakistan, Sri Lanka)	4.896
1037a	common_voice_en_26523110.mp3	I am all against anything that interferes with my sleep.	adult	female_feminine		4.788
1037a	common_voice_en_26523112.mp3	Confetti can be made in many forms using several different ingredients.	adult	female_feminine		4.248
1041a	common_voice_en_17279811.mp3	Thank you, just the same.	adult	female_feminine	United States English	6.024
1041a	common_voice_en_17279812.mp3	Bacon, pancakes and maple syrup is a hearty start to any day.	adult	female_feminine	United States English	7.656
1042a	common_voice_en_37016753.mp3	Some common side effects include fever, pain around the injection site, and muscle aches.	adult	female_feminine		8.82
1042a	common_voice_en_37016755.mp3	He then took Lana to Smallville and helped her to re-bury Superman's remains.	adult	female_feminine		6.876
1066a	common_voice_en_18354220.mp3	Nowadays, we have fewer but larger farms.	adult	female_feminine	England English	4.656
1066a	common_voice_en_18354223.mp3	Jacqueline has an ulcer on her bottom lip.	adult	female_feminine	England English	3.816
1078a	common_voice_en_561897.mp3	Men think and plan and sometimes act.	adult	female_feminine	United States English	4.2
1078a	common_voice_en_561898.mp3	A colleague of mine is from West Virginia.	adult	female_feminine	United States English	3.216
1084a	common_voice_en_27386231.mp3	The Merry-Go-Round is owned by the East Bay Regional Park District.	adult	female_feminine		5.328
1084a	common_voice_en_27386232.mp3	A portrait of Houghton hangs in the chamber of the Michigan House of Representatives.	adult	female_feminine		8.928
1089a	common_voice_en_19738882.mp3	Let me explain to you.	adult	female_feminine		7.176
1089a	common_voice_en_19738885.mp3	This approach often uses other media and breaks accepted conventions and practices.	adult	female_feminine		9.648
1099a	common_voice_en_17855187.mp3	The race was finished in just thirty nine minutes, beating all expectations.	adult	female_feminine	India and South Asia (India, Pakistan, Sri Lanka)	5.184
1099a	common_voice_en_17855188.mp3	What did you say your name was?	adult	female_feminine	India and South Asia (India, Pakistan, Sri Lanka)	3.456
1100a	common_voice_en_17730429.mp3	Oh man, I think I got friend-zoned once again.	adult	female_feminine		7.728
1100a	common_voice_en_17730430.mp3	Are you in pain?	adult	female_feminine		2.616
1105a	common_voice_en_18514959.mp3	Do you know if there is a car park nearby?	adult	female_feminine	United States English	4.296
1105a	common_voice_en_18514961.mp3	When you say 'No, sir,' do you mean 'Yes, sir'?	adult	female_feminine	United States English	4.104
1122a	common_voice_en_33290227.mp3	Matt Currie and Ben Muncaster were also invited to train with the squad.	adult	female_feminine		7.2
1122a	common_voice_en_33290229.mp3	The Cambrian Line running west from Shrewsbury reaches the coast at Machynlleth.	adult	female_feminine		7.416
1126a	common_voice_en_19412457.mp3	The involvement of Catherine Deneuve was instrumental in securing financing for the production.	adult	female_feminine		6.768
1126a	common_voice_en_19412461.mp3	Luzira lies in Nakawa Division, one of the five administrative divisions of Kampala.	adult	female_feminine		7.008
1131a	common_voice_en_19708705.mp3	They often graze on water plants in tropical seas.	adult	female_feminine	United States English	5.448
1131a	common_voice_en_19708707.mp3	In total, Kirtley has played eleven One Day Internationals.	adult	female_feminine	United States English	5.712
1134a	common_voice_en_18211592.mp3	Greediness burst the bag.	adult	female_feminine	United States English	4.632
1134a	common_voice_en_18211602.mp3	Everyone should have the right to education.	adult	female_feminine	United States English	4.8
1136a	common_voice_en_36937895.mp3	Among the tribes of the Upper Nile the medicine-men are generally the chiefs.	adult	female_feminine		7.02
1136a	common_voice_en_36937896.mp3	He dwelt on a sacred mountain and acted as adviser to the king.	adult	female_feminine		6.156
1147a	common_voice_en_78527.mp3	The boy continued to listen to his heart as they crossed the desert.	adult	female_feminine	United States English	6.504
1147a	common_voice_en_78528.mp3	The city was still sleeping.	adult	female_feminine	United States English	3.24
1153a	common_voice_en_17840464.mp3	A miss is as good as a mile.	adult	female_feminine	Australian English	3.24
1153a	common_voice_en_17840469.mp3	Those people are kick-ass samba dancers!	adult	female_feminine	Australian English	3.168
1156a	common_voice_en_18165456.mp3	If the cap fit, wear it.	adult	female_feminine	United States English	3.864
1156a	common_voice_en_18165461.mp3	Our bitch had puppies, do you want one?	adult	female_feminine	United States English	3.336
1159a	common_voice_en_17271033.mp3	Never to come on a green twig; not to get on in the world.	adult	female_feminine	United States English	5.904
1159a	common_voice_en_17271034.mp3	Madam, this is the best brand of corn.	adult	female_feminine	United States English	4.656
1170a	common_voice_en_18093355.mp3	The CEO of that Japanese company resigned.	adult	female_feminine		4.344
1170a	common_voice_en_18093359.mp3	It seems Rahul had thought everything.	adult	female_feminine		4.224
1173a	common_voice_en_17391184.mp3	Tell me whom you keep company with, and I' will tell you what you do.	adult	female_feminine	England English	5.136
1173a	common_voice_en_17391190.mp3	C'mon, we need to turn on our GPS so we don't end up in the middle of nowhere.	adult	female_feminine	England English	4.8
1177a	common_voice_en_38518231.mp3	Both parts have to deal with the consequences of gentrification.	adult	female_feminine	United States English	6.048
1177a	common_voice_en_38518233.mp3	The point of this manoeuver was to weaken Black's kingside.	adult	female_feminine	United States English	6.48
